lat,lng,zone
39.940556,-75.141665,1
39.941256,-75.147617,1
39.940496,-75.147815,1
39.945521,-75.188859,1
39.952376,-75.181349,1
39.959473,-75.179538,1
39.964838,-75.183346,1
39.959022,-75.134254,1
39.967334,-75.162179,3
39.967548,-75.17858,3
39.967291,-75.178601,3
39.966992,-75.162214,3
39.94273,-75.16556,4
39.942772,-75.165863,4
39.937911,-75.166955,4
39.937862,-75.166614,4
39.925755,-75.169209,6
39.934174,-75.158363,6
39.934138,-75.158147,6
39.925733,-75.168115,6
39.925507,-75.169337,6
39.938932,-75.157808,7
39.938976,-75.158013,7
39.934346,-75.159065,7
39.93429,-75.158736,7
40.077421,-75.208947,8
40.077267,-75.20904,8
40.073945,-75.203384,8
40.066614,-75.1968,8
40.067391,-75.195966,8
40.074992,-75.20399,8
40.077451,-75.208913,8
40.079038,-75.174146,9
40.078953,-75.174001,9
40.080975,-75.172014,9
40.081062,-75.172172,9
40.022302,-75.218236,10
40.022204,-75.218451,10
40.024511,-75.221524,10
40.026811,-75.22719,10
40.026949,-75.22706,10
40.024621,-75.221244,10
39.941405,-75.144042,South St
39.943112,-75.160158,South St
39.942875,-75.160201,South St
39.941675,-75.150823,South St
39.937863,-75.151689,South St
39.937321,-75.148542,South St
39.940196,-75.148024,South St
39.939884,-75.144312,South St
39.977168,-75.134044,Fishtown/Kensington
39.962985,-75.138472,Fishtown/Kensington
39.96457,-75.134378,Fishtown/Kensington
39.968504,-75.13424,Fishtown/Kensington
39.971793,-75.124441,Fishtown/Kensington
39.972328,-75.124747,Fishtown/Kensington
39.969046,-75.134137,Fishtown/Kensington
39.972404,-75.134234,Fishtown/Kensington
39.986644,-75.122193,Fishtown/Kensington
39.987104,-75.122649,Fishtown/Kensington
39.978112,-75.131455,Fishtown/Kensington
39.968816,-75.13726,Northern Liberties
39.957346,-75.142145,Northern Liberties
39.957854,-75.145598,Northern Liberties
39.963856,-75.144928,Northern Liberties
39.969655,-75.141582,Northern Liberties
